Dataset, #TrainingRelease, %Training, %Defective in training,%Defective in testing, Classifier, Balancing, Feature Selection, Sensitivity, TP, FP, TN, FN, Precision,Recall, AUC, Kappa
BOOKKEEPER,6,0.818206,0.251810,0.081481,Naive Bayes,Oversampling,No,No,21,14,606,34,0.600000,0.381818,0.856481,0.430580
BOOKKEEPER,6,0.818206,0.251810,0.081481,Ibk,Oversampling,No,No,44,407,213,11,0.097561,0.800000,0.672551,0.033534
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,Oversampling,No,Sensitive threshold,154,224,50,11,0.407407,0.933333,0.557908,0.092153
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,Oversampling,No,Sensitive threshold,91,70,204,74,0.565217,0.551515,0.648020,0.297475
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,Oversampling,No,Sensitive threshold,114,116,158,51,0.495652,0.690909,0.633776,0.248110
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,Oversampling,No,Sensitive threshold,118,321,0,0,0.268793,1.000000,0.500000,0.000000
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,Oversampling,No,Sensitive threshold,13,2,319,105,0.866667,0.110169,0.551969,0.143563
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,Oversampling,No,Sensitive threshold,7,12,309,111,0.368421,0.059322,0.510969,0.029860
BOOKKEEPER,3,0.317533,0.329941,0.237691,Random Forest,Oversampling,No,Sensitive threshold,135,369,80,5,0.267857,0.964286,0.571230,0.075190
BOOKKEEPER,3,0.317533,0.329941,0.237691,Naive Bayes,Oversampling,No,Sensitive threshold,77,97,352,63,0.442529,0.550000,0.666982,0.308208
BOOKKEEPER,3,0.317533,0.329941,0.237691,Ibk,Oversampling,No,Sensitive threshold,60,164,285,80,0.267857,0.428571,0.531658,0.052480
BOOKKEEPER,4,0.476165,0.299208,0.201299,Random Forest,Oversampling,No,Sensitive threshold,121,320,172,3,0.274376,0.975806,0.662700,0.166354
BOOKKEEPER,4,0.476165,0.299208,0.201299,Naive Bayes,Oversampling,No,Sensitive threshold,48,21,471,76,0.695652,0.387097,0.672207,0.412907
BOOKKEEPER,4,0.476165,0.299208,0.201299,Ibk,Oversampling,No,Sensitive threshold,65,117,375,59,0.357143,0.524194,0.643194,0.243750
BOOKKEEPER,5,0.642068,0.273909,0.171254,Random Forest,Oversampling,No,Sensitive threshold,110,372,170,2,0.228216,0.982143,0.647898,0.128025
BOOKKEEPER,5,0.642068,0.273909,0.171254,Naive Bayes,Oversampling,No,Sensitive threshold,45,41,501,67,0.523256,0.401786,0.663070,0.359219
BOOKKEEPER,5,0.642068,0.273909,0.171254,Ibk,Oversampling,No,Sensitive threshold,17,52,490,95,0.246377,0.151786,0.527922,0.065878
BOOKKEEPER,6,0.818206,0.251810,0.081481,Random Forest,Oversampling,No,Sensitive threshold,53,354,266,2,0.130221,0.963636,0.696334,0.100270
BOOKKEEPER,6,0.818206,0.251810,0.081481,Naive Bayes,Oversampling,No,Sensitive threshold,30,41,579,25,0.422535,0.545455,0.739663,0.423226
BOOKKEEPER,6,0.818206,0.251810,0.081481,Ibk,Oversampling,No,Sensitive threshold,44,407,213,11,0.097561,0.800000,0.571774,0.033534
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,Oversampling,No,Sensitive learning,142,158,116,23,0.473333,0.860606,0.744537,0.244219
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,Oversampling,No,Sensitive learning,91,70,204,74,0.565217,0.551515,0.710142,0.297475
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,Oversampling,No,Sensitive learning,114,116,158,51,0.495652,0.690909,0.608261,0.248110
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,Oversampling,No,Sensitive learning,7,1,320,111,0.875000,0.059322,0.700063,0.079699
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,Oversampling,No,Sensitive learning,13,2,319,105,0.866667,0.110169,0.714821,0.143563
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,Oversampling,No,Sensitive learning,7,12,309,111,0.368421,0.059322,0.508501,0.029860
BOOKKEEPER,3,0.317533,0.329941,0.237691,Random Forest,Oversampling,No,Sensitive learning,136,347,102,4,0.281573,0.971429,0.815344,0.107757
BOOKKEEPER,3,0.317533,0.329941,0.237691,Naive Bayes,Oversampling,No,Sensitive learning,77,97,352,63,0.442529,0.550000,0.734235,0.308208
BOOKKEEPER,3,0.317533,0.329941,0.237691,Ibk,Oversampling,No,Sensitive learning,60,164,285,80,0.267857,0.428571,0.494758,0.052480
BOOKKEEPER,4,0.476165,0.299208,0.201299,Random Forest,Oversampling,No,Sensitive learning,116,230,262,8,0.335260,0.935484,0.841283,0.280317
BOOKKEEPER,4,0.476165,0.299208,0.201299,Naive Bayes,Oversampling,No,Sensitive learning,48,21,471,76,0.695652,0.387097,0.814483,0.412907
BOOKKEEPER,4,0.476165,0.299208,0.201299,Ibk,Oversampling,No,Sensitive learning,65,117,375,59,0.357143,0.524194,0.725847,0.243750
BOOKKEEPER,5,0.642068,0.273909,0.171254,Random Forest,Oversampling,No,Sensitive learning,110,312,230,2,0.260664,0.982143,0.846188,0.193759
BOOKKEEPER,5,0.642068,0.273909,0.171254,Naive Bayes,Oversampling,No,Sensitive learning,45,41,501,67,0.523256,0.401786,0.819715,0.359219
BOOKKEEPER,5,0.642068,0.273909,0.171254,Ibk,Oversampling,No,Sensitive learning,17,52,490,95,0.246377,0.151786,0.572376,0.065878
BOOKKEEPER,6,0.818206,0.251810,0.081481,Random Forest,Oversampling,No,Sensitive learning,52,323,297,3,0.138667,0.945455,0.815645,0.116265
BOOKKEEPER,6,0.818206,0.251810,0.081481,Naive Bayes,Oversampling,No,Sensitive learning,30,41,579,25,0.422535,0.545455,0.856481,0.423226
BOOKKEEPER,6,0.818206,0.251810,0.081481,Ibk,Oversampling,No,Sensitive learning,44,407,213,11,0.097561,0.800000,0.672551,0.033534
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,Undersampling,No,No,131,112,162,34,0.539095,0.793939,0.776664,0.352075
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,Undersampling,No,No,85,54,220,80,0.611511,0.515152,0.734904,0.328363
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,Undersampling,No,No,127,141,133,38,0.473881,0.769697,0.627549,0.226923
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,Undersampling,No,No,0,0,321,118,NaN,0.000000,0.684804,0.000000
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,Undersampling,No,No,13,2,319,105,0.866667,0.110169,0.649110,0.143563
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,Undersampling,No,No,10,23,298,108,0.303030,0.084746,0.505491,0.016957
BOOKKEEPER,3,0.317533,0.329941,0.237691,Random Forest,Undersampling,No,No,101,54,395,39,0.651613,0.721429,0.839620,0.579786
BOOKKEEPER,3,0.317533,0.329941,0.237691,Naive Bayes,Undersampling,No,No,32,1,448,108,0.969697,0.228571,0.758543,0.307111
BOOKKEEPER,3,0.317533,0.329941,0.237691,Ibk,Undersampling,No,No,86,153,296,54,0.359833,0.614286,0.637194,0.219997
BOOKKEEPER,4,0.476165,0.299208,0.201299,Random Forest,Undersampling,No,No,78,88,404,46,0.469880,0.629032,0.825457,0.399558
BOOKKEEPER,4,0.476165,0.299208,0.201299,Naive Bayes,Undersampling,No,No,37,22,470,87,0.627119,0.298387,0.790232,0.315528
BOOKKEEPER,4,0.476165,0.299208,0.201299,Ibk,Undersampling,No,No,102,325,167,22,0.238876,0.822581,0.606863,0.084652
BOOKKEEPER,5,0.642068,0.273909,0.171254,Random Forest,Undersampling,No,No,94,155,387,18,0.377510,0.839286,0.857629,0.372542
BOOKKEEPER,5,0.642068,0.273909,0.171254,Naive Bayes,Undersampling,No,No,28,23,519,84,0.549020,0.250000,0.825926,0.264767
BOOKKEEPER,5,0.642068,0.273909,0.171254,Ibk,Undersampling,No,No,41,50,492,71,0.450549,0.366071,0.649603,0.295823
BOOKKEEPER,6,0.818206,0.251810,0.081481,Random Forest,Undersampling,No,No,46,222,398,9,0.171642,0.836364,0.810367,0.173009
BOOKKEEPER,6,0.818206,0.251810,0.081481,Naive Bayes,Undersampling,No,No,23,12,608,32,0.657143,0.418182,0.867478,0.478032
BOOKKEEPER,6,0.818206,0.251810,0.081481,Ibk,Undersampling,No,No,49,463,157,6,0.095703,0.890909,0.572067,0.030116
BOOKKEEPER,1,0.081067,0.352159,0.375854,Random Forest,Undersampling,No,Sensitive threshold,159,226,48,6,0.412987,0.963636,0.569409,0.109720
BOOKKEEPER,1,0.081067,0.352159,0.375854,Naive Bayes,Undersampling,No,Sensitive threshold,94,65,209,71,0.591195,0.569697,0.666235,0.334893
BOOKKEEPER,1,0.081067,0.352159,0.375854,Ibk,Undersampling,No,Sensitive threshold,127,141,133,38,0.473881,0.769697,0.627549,0.226923
BOOKKEEPER,2,0.199300,0.366216,0.268793,Random Forest,Undersampling,No,Sensitive threshold,118,321,0,0,0.268793,1.000000,0.500000,0.000000
BOOKKEEPER,2,0.199300,0.366216,0.268793,Naive Bayes,Undersampling,No,Sensitive threshold,27,11,310,91,0.710526,0.228814,0.597273,0.247631
BOOKKEEPER,2,0.199300,0.366216,0.268793,Ibk,Undersampling,No,Sensitive threshold,10,23,298,108,0.303030,0.084746,0.506547,0.016957
BOOKKEEPER,3,0.317533,0.329941,0.237691,Random Forest,Undersampling,No,Sensitive threshold,138,435,14,2,0.240838,0.985714,0.508447,0.008184
BOOKKEEPER,3,0.317533,0.329941,0.237691,Naive Bayes,Undersampling,No,Sensitive threshold,85,9,440,55,0.904255,0.607143,0.793549,0.661937
BOOKKEEPER,3,0.317533,0.329941,0.237691,Ibk,Undersampling,No,Sensitive threshold,86,153,296,54,0.359833,0.614286,0.636764,0.219997
BOOKKEEPER,4,0.476165,0.299208,0.201299,Random Forest,Undersampling,No,Sensitive threshold,122,353,139,2,0.256842,0.983871,0.633196,0.129403
BOOKKEEPER,4,0.476165,0.299208,0.201299,Naive Bayes,Undersampling,No,Sensitive threshold,40,28,464,84,0.588235,0.322581,0.632835,0.319659
BOOKKEEPER,4,0.476165,0.299208,0.201299,Ibk,Undersampling,No,Sensitive threshold,102,325,167,22,0.238876,0.822581,0.581006,0.084652
