Dataset, #TrainingRelease, %Training, %Defective in training,%Defective in testing, Classifier, Balancing, Feature Selection, Sensitivity, TP, FP, TN, FN, Precision,Recall, AUC, Kappa
ZOOKEEPER,6,0.170842,0.143989,0.072368,Ibk,No,No,Sensitive learning,0,0,282,22,NaN,0.000000,0.493230,0.000000
ZOOKEEPER,7,0.205146,0.132013,0.152738,Random Forest,No,No,Sensitive learning,29,51,243,24,0.362500,0.547170,0.777628,0.309150
ZOOKEEPER,7,0.205146,0.132013,0.152738,Naive Bayes,No,No,Sensitive learning,30,39,255,23,0.434783,0.566038,0.815236,0.385665
ZOOKEEPER,7,0.205146,0.132013,0.152738,Ibk,No,No,Sensitive learning,17,30,264,36,0.361702,0.320755,0.618342,0.229356
ZOOKEEPER,8,0.244302,0.135335,0.132768,Random Forest,No,No,Sensitive learning,14,17,290,33,0.451613,0.297872,0.754695,0.283343
ZOOKEEPER,8,0.244302,0.135335,0.132768,Naive Bayes,No,No,Sensitive learning,14,25,282,33,0.358974,0.297872,0.777116,0.233251
ZOOKEEPER,8,0.244302,0.135335,0.132768,Ibk,No,No,Sensitive learning,10,13,294,37,0.434783,0.212766,0.644362,0.217437
ZOOKEEPER,9,0.284247,0.134974,0.078571,Random Forest,No,No,Sensitive learning,24,35,481,20,0.406780,0.545455,0.834875,0.413199
ZOOKEEPER,9,0.284247,0.134974,0.078571,Naive Bayes,No,No,Sensitive learning,23,42,474,21,0.353846,0.522727,0.897243,0.362256
ZOOKEEPER,9,0.284247,0.134974,0.078571,Ibk,No,No,Sensitive learning,5,21,495,39,0.192308,0.113636,0.568820,0.089727
ZOOKEEPER,10,0.347439,0.124716,0.072183,Random Forest,No,No,Sensitive learning,13,40,487,28,0.245283,0.317073,0.740107,0.212494
ZOOKEEPER,10,0.347439,0.124716,0.072183,Naive Bayes,No,No,Sensitive learning,23,44,483,18,0.343284,0.560976,0.838177,0.369454
ZOOKEEPER,10,0.347439,0.124716,0.072183,Ibk,No,No,Sensitive learning,3,33,494,38,0.083333,0.073171,0.528324,0.011181
ZOOKEEPER,11,0.411532,0.116534,0.148718,Random Forest,No,No,Sensitive learning,39,71,261,19,0.354545,0.672414,0.814525,0.334723
ZOOKEEPER,11,0.411532,0.116534,0.148718,Naive Bayes,No,No,Sensitive learning,39,55,277,19,0.414894,0.672414,0.848904,0.403423
ZOOKEEPER,11,0.411532,0.116534,0.148718,Ibk,No,No,Sensitive learning,36,68,264,22,0.346154,0.620690,0.710843,0.313327
ZOOKEEPER,12,0.455541,0.119643,0.174359,Random Forest,No,No,Sensitive learning,16,33,289,52,0.326531,0.235294,0.595086,0.149258
ZOOKEEPER,12,0.455541,0.119643,0.174359,Naive Bayes,No,No,Sensitive learning,13,8,314,55,0.619048,0.191176,0.546538,0.228668
