Version,Name,Size,NR,NAuth,LOC added,MAX LOC added,AVG LOC added,Churn,MAX Churn,AVG Churn,Age,Buggy
3.0.0,src/java/main/org/apache/jute/compiler/generated/ParseException.java,210,2,1,211,210,105.50,210,210,105.00,23,No
3.0.0,src/java/main/org/apache/jute/compiler/generated/Rcc.java,525,3,1,550,519,183.33,525,519,175.00,23,No
3.0.0,src/java/main/org/apache/jute/compiler/generated/RccConstants.java,88,2,1,89,88,44.50,88,88,44.00,23,No
3.0.0,src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,833,2,1,835,833,417.50,833,833,416.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,457,2,1,458,457,229.00,457,457,228.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/generated/Token.java,99,2,1,100,99,50.00,99,99,49.50,23,No
3.0.0,src/java/main/org/apache/jute/compiler/generated/TokenMgrError.java,151,2,1,152,151,76.00,151,151,75.50,23,No
3.0.0,src/java/main/org/apache/zookeeper/AsyncCallback.java,52,3,1,61,50,20.33,52,50,17.33,23,No
3.0.0,src/java/main/org/apache/zookeeper/ClientCnxn.java,1045,17,4,1318,858,77.53,1045,858,61.47,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/ClientWatchManager.java,39,3,2,44,41,14.67,39,41,13.00,10,No
3.0.0,src/java/main/org/apache/zookeeper/CreateMode.java,89,1,1,89,89,89.00,89,89,89.00,12,No
3.0.0,src/java/main/org/apache/zookeeper/Environment.java,100,1,1,100,100,100.00,100,100,100.00,0,No
3.0.0,src/java/main/org/apache/zookeeper/KeeperException.java,336,3,1,343,334,114.33,336,334,112.00,23,No
3.0.0,src/java/main/org/apache/zookeeper/ServerAdminClient.java,312,5,2,603,264,120.60,312,262,62.40,23,No
3.0.0,src/java/main/org/apache/zookeeper/Version.java,78,3,1,87,76,29.00,78,76,26.00,23,No
3.0.0,src/java/main/org/apache/zookeeper/WatchedEvent.java,81,2,1,83,73,41.50,81,73,40.50,9,No
3.0.0,src/java/main/org/apache/zookeeper/Watcher.java,107,5,1,134,64,26.80,107,64,21.40,23,No
3.0.0,src/java/main/org/apache/zookeeper/ZooDefs.java,112,5,2,127,114,25.40,112,114,22.40,23,No
3.0.0,src/java/main/org/apache/zookeeper/ZooKeeper.java,1040,19,3,1571,1122,82.68,1040,1122,54.74,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/ZooKeeperMain.java,232,6,2,246,228,41.00,232,228,38.67,15,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/ByteBufferInputStream.java,72,3,1,79,70,26.33,72,70,24.00,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/DataNode.java,125,9,3,165,94,18.33,125,94,13.89,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/DataTree.java,798,13,3,865,560,66.54,798,560,61.38,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/FinalRequestProcessor.java,265,9,4,305,244,33.89,265,244,29.44,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/LogFormatter.java,72,4,2,84,70,21.00,72,70,18.00,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/NIOServerCnxn.java,888,12,4,1785,850,148.75,888,848,74.00,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,460,12,4,509,444,42.42,460,444,38.33,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java,94,5,2,208,85,41.60,94,83,18.80,23,Yes
3.0.0,src/java/main/org/apache/zookeeper/server/Request.java,197,7,4,224,188,32.00,197,188,28.14,23,No
3.0.0,src/java/main/org/apache/zookeeper/server/RequestProcessor.java,37,3,1,44,35,14.67,37,35,12.33,23,No
